Time (ns),Observed Counts,IRF Used,Fitted Counts,Tau (ns),Shift (ns),Chi^2
1.7,-0.073235686,-0.101198402,-0.002456195,,,
1.704,-0.073235686,0.898801598,-0.00204809,,,
1.708,-0.073235686,0.898801598,-0.001640663,,,
1.712,-0.073235686,-0.101198402,-0.001683429,,,
1.716,-0.073235686,-0.101198402,-0.001726125,,,
1.72,-0.073235686,-0.101198402,-0.00176875,,,
1.724,-0.073235686,-0.101198402,-0.001811305,,,
1.728,-0.073235686,-0.101198402,-0.001853788,,,
1.732,-0.073235686,-0.101198402,-0.001896201,,,
1.736,-0.073235686,-0.101198402,-0.001938544,,,
1.74,-0.073235686,-0.101198402,-0.001980816,,,
1.744,-0.073235686,0.898801598,-0.001573501,,,
1.748,-0.073235686,-0.101198402,-0.001616379,,,
1.752,-0.073235686,-0.101198402,-0.001659186,,,
1.756,-0.073235686,-0.101198402,-0.001701922,,,
1.76,-0.073235686,-0.101198402,-0.001744588,,,
1.764,-0.073235686,-0.101198402,-0.001787182,,,
1.768,-0.073235686,-0.101198402,-0.001829706,,,
1.772,-0.073235686,-0.101198402,-0.001872159,,,
1.776,-0.073235686,-0.101198402,-0.001914541,,,
1.78,-0.073235686,-0.101198402,-0.001956853,,,
1.784,-0.073235686,-0.101198402,-0.001999095,,,
1.788,-0.073235686,-0.101198402,-0.002041267,,,
1.792,-0.073235686,-0.101198402,-0.002083369,,,
1.796,-0.073235686,-0.101198402,-0.002125401,,,
1.8,-0.073235686,-0.101198402,-0.002167363,,,
1.804,-0.073235686,-0.101198402,-0.002209256,,,
1.808,-0.073235686,-0.101198402,-0.002251079,,,
1.812,-0.073235686,-0.101198402,-0.002292832,,,
1.816,-0.073235686,-0.101198402,-0.002334517,,,
1.82,-0.073235686,0.898801598,-0.001926614,,,
1.824,-0.073235686,-0.101198402,-0.001968906,,,
1.828,-0.073235686,-0.101198402,-0.002011128,,,
1.832,-0.073235686,-0.101198402,-0.00205328,,,
1.836,-0.073235686,-0.101198402,-0.002095362,,,
1.84,-0.073235686,-0.101198402,-0.002137374,,,
1.844,-0.073235686,-0.101198402,-0.002179316,,,
1.848,-0.073235686,-0.101198402,-0.002221189,,,
1.852,-0.073235686,-0.101198402,-0.002262992,,,
1.856,-0.073235686,-0.101198402,-0.002304726,,,
1.86,-0.073235686,-0.101198402,-0.00234639,,,
1.864,-0.073235686,-0.101198402,-0.002387986,,,
1.868,-0.073235686,-0.101198402,-0.002429512,,,
1.872,-0.073235686,-0.101198402,-0.002470969,,,
1.876,0.926764314,-0.101198402,-0.002512358,,,
1.88,-0.073235686,-0.101198402,-0.002553678,,,
1.884,-0.073235686,-0.101198402,-0.002594929,,,
1.888,-0.073235686,-0.101198402,-0.002636112,,,
1.892,-0.073235686,-0.101198402,-0.002677226,,,
1.896,-0.073235686,-0.101198402,-0.002718272,,,
1.9,-0.073235686,-0.101198402,-0.00275925,,,
1.904,-0.073235686,-0.101198402,-0.00280016,,,
1.908,-0.073235686,-0.101198402,-0.002841002,,,
1.912,-0.073235686,-0.101198402,-0.002881776,,,
1.916,-0.073235686,1.898801598,-0.002023447,,,
1.92,-0.073235686,-0.101198402,-0.002065578,,,
1.924,-0.073235686,-0.101198402,-0.00210764,,,
1.928,-0.073235686,0.898801598,-0.001700114,,,
1.932,-0.073235686,-0.101198402,-0.001742782,,,
1.936,-0.073235686,-0.101198402,-0.001785379,,,
1.94,-0.073235686,-0.101198402,-0.001827906,,,
1.944,-0.073235686,0.898801598,-0.001420844,,,
1.948,-0.073235686,-0.101198402,-0.001463976,,,
